x,y,date
13603.4750028,958.893688701,2017-01-13
9199.82027062,-1041.52299657,2017-07-02
8769.24468533,-1672.33672826,2017-01-16
10776.2356623,-3562.03324641,2017-02-23
11145.2872226,-2279.50756412,2017-01-14
11343.7038341,-2275.02932191,2017-03-18
13101.8544175,15.349446903,2017-01-14
14043.2468267,-4869.68002013,2017-07-01
9629.70346137,982.852745429,2017-04-28
15909.3296567,-4181.78011279,2017-04-28
11147.0019476,-2001.2846687,2017-04-01
10961.5151212,-1748.27650974,2017-04-01
7044.86733109,-2479.96769961,2017-12-03
8858.19086221,-3871.13664595,2017-04-01
15125.3852665,-4398.46852055,2017-01-02
7433.42135488,-1372.50424991,2017-03-25
13760.5933041,1251.36009602,2017-11-02
11167.7361646,-4091.35891196,2017-01-14
14486.3766646,11.8443106365,2017-02-23
7464.06539781,326.430439065,2017-03-01
7160.15731831,742.312718093,2017-03-01
8191.4288113,-2859.38026682,2017-03-01
11645.4393486,686.935774484,2017-03-27
11146.5810263,1630.36291635,2017-09-01
11282.7898578,250.821627617,2017-10-01
9859.96977102,408.809633993,2017-10-01
10909.90324,-2916.72482971,2017-01-27
11084.8780323,-1602.39778201,2017-01-27
10680.8402481,-1708.08487268,2017-01-16
10948.2197383,-2335.18936546,2017-05-01
-3479106.39338,3000800.15951,2017-01-13
9648.12755676,-382.839183111,2017-04-04
16787.5385476,-5291.99555251,2017-01-27
16627.9744883,-5592.83053992,2017-01-13
15501.2395113,-3569.66872914,2017-04-01
13974.8935243,-3310.31791906,2017-02-20
14814.8679851,-3252.81299376,2017-04-01
16149.9633807,-3636.10117113,2017-01-13
15768.0506987,-4068.57335093,2017-04-01
9278.61233214,-1756.16224524,2017-04-28
7053.26335591,-1320.83207442,2017-04-20
6220.34567373,1787.61578955,2017-04-20
10859.5653892,-3536.77033532,2017-01-27
10355.8800805,-1182.68725758,2017-12-01
13231.1456277,349.244558778,2017-03-03
15221.1493618,-2117.63780082,2017-03-15
15444.7994831,-2892.43375326,2017-01-27
16080.0696113,-3328.5361451,2017-03-15
13146.5058541,-1405.2460685,2017-03-24
8511.24054577,-6078.94373104,2017-04-01
9622.70325628,-3309.30318924,2017-12-04
12227.2575812,-1950.81922107,2017-05-01
5884.78372175,1185.22197744,2017-01-16
8628.22942963,-4012.13723336,2017-01-27
8815.96415563,-652.865189337,2017-01-30
12112.4122482,-1469.99703001,2017-01-17
16566.2980813,-1687.65702813,2017-01-17
14622.0917423,156.524577919,2017-05-05
10604.7083233,-2646.83515065,2017-02-25
11712.7309886,1591.6397988,2017-04-02
14093.8905452,61.1649230824,2017-11-02
6840.2831427,1685.94507925,2017-01-02
13835.1902138,-1197.25761668,2017-11-03
15300.0495626,-9.11983345584,2017-03-23
6725.00167826,-459.945598001,2017-01-27
11382.8018817,1537.65786252,2017-02-20
11192.6840821,1343.09126574,2017-04-28
14228.5110107,-3197.79508504,2017-01-27
10673.1111702,-2734.26406486,2017-02-02
7949.67874926,-3201.57960129,2017-05-05
11171.8695306,-2840.6961784,2017-02-02
9718.26525227,-2927.69733606,2017-07-01
10745.8428974,-2707.255266,2017-11-03
10733.1329806,-2713.91455426,2017-02-18
11703.717858,-1776.25402649,2017-01-02
15126.7580043,-4433.93032618,2017-01-14
10141.2141289,-3637.91912055,2017-11-02
9202.63875383,-3761.34121816,2017-02-18
15260.3733024,-58.4416444911,2017-02-18
6996.9579916,-1326.8307659,2017-02-25
9683.93225273,-500.799864289,2017-01-02
9681.31443682,-421.191735075,2017-01-14
9678.12177859,-586.567388348,2017-11-02
11682.6455519,-2587.63420859,2017-01-14
16575.0701437,-4585.96263166,2017-01-02
15748.2639493,-2608.0515382,2017-01-14
10533.2569031,-2286.80100715,2017-01-02
12754.5714093,-927.093755773,2017-01-14
12883.4005437,-1416.24945064,2017-02-18
13450.8312083,-1767.07556018,2017-01-04
12334.3759069,-1674.13754922,2017-04-03
9301.92267047,-7501.30708697,2017-11-02
15027.1797257,-1609.23455449,2017-01-02
13634.6921048,950.994805797,2017-02-02
16344.9554168,-2131.6064124,2017-03-05
12780.3539662,-3582.83823117,2017-04-20
10643.4192668,-2636.10303865,2017-04-28
7511.32475979,-1543.85489436,2017-02-22
11533.3099152,-2592.75869346,2017-02-22
14166.0356884,951.657801649,2017-04-25
13048.3988819,525.159348221,2017-03-16
14715.2224097,-2508.56189327,2017-09-02
13398.1816476,1096.74096984,2017-04-20
15455.5270913,938.538967896,2017-12-03
14625.5205177,-78.1144954593,2017-04-05
9599.02878629,678.728793947,2017-12-03
12226.0483664,-1279.51002122,2017-02-02
8269.76358816,-218.603955913,2017-03-16
11761.6060116,-4914.1025278,2017-04-03
8583.26677246,-2519.20702383,2017-04-15
15920.8886731,-2737.59609111,2017-03-25
14091.0473466,-163.335111312,2017-04-03
13074.2022232,-609.778407538,2017-04-03
8885.79603113,548.241294127,2017-02-25
10856.2227016,-1911.63253516,2017-02-25
15300.9156162,90.3796056636,2017-04-03
9669.01914292,-544.190660244,2017-03-25
-3479106.39338,3000800.15951,2017-04-03
-3479106.39338,3000800.15951,2017-02-18
10487.3470799,-2943.90809604,2017-02-18
16201.773002,-1743.19252787,2017-11-02
17049.7760125,-3907.20666578,2017-02-25
11248.3123131,-2284.22260862,2017-04-22
11104.8718243,1619.84265101,2017-11-03
13022.1982932,526.11861381,2017-03-18
14432.8483748,-2962.0002766,2017-11-03
13012.9377876,-570.313000778,2017-11-02
8865.75102475,136.243507711,2017-01-04
14135.2822841,-3248.47696123,2017-03-25
14239.0989177,-3758.0147944,2017-03-18
11327.2069404,-91.98782255,2017-03-18
9490.50178574,-1513.82334259,2017-01-04
11872.0484388,777.964202789,2017-11-03
8199.78601243,9.96311899108,2017-03-25
15529.8640474,-2390.3197629,2017-11-02
13179.9996754,-1338.58588049,2017-04-03
15436.022988,-3365.07437147,2017-04-03
12367.1847177,-1087.47589449,2017-03-20
8314.74733431,-216.057534155,2017-03-17
10616.2273816,90.2319415137,2017-04-24
12068.3846825,-1139.98431,2017-07-04
10347.4862847,-3378.50549906,2017-02-23
13081.5773562,18.9309885624,2017-04-19
13239.6420222,963.808420862,2017-04-27
12487.0572242,1268.34818927,2017-03-21
15587.6392541,983.458614745,2017-03-21
14156.2760458,-3241.4315341,2017-03-25
7903.31446763,-1879.6566457,2017-01-04
-3479106.39338,3000800.15951,2017-04-15
14200.575138,-4751.77837968,2017-04-03
11298.3851724,-1985.46310406,2017-11-03
11645.3787951,-4378.95870913,2017-08-04
13246.0838543,-586.240272703,2017-03-18
13091.6096502,24.823744333,2017-04-22
7428.39561951,-1369.19254204,2017-03-23
11884.9171408,-4509.53717864,2017-07-04
11442.0086682,-4370.73034856,2017-05-05
13361.3048759,-2268.64789555,2017-02-03
14004.5879928,-672.861885646,2017-03-13
9707.29440535,1362.6436995,2017-03-18
10295.4084589,-2724.36383857,2017-12-04
6438.88979719,521.817344944,2017-12-04
11430.2446893,-3892.42617938,2017-12-04
10752.6221563,155.707038838,2017-12-04
13757.6613005,-3569.51080081,2017-12-04
16754.0285519,-3297.26012697,2017-12-03
15832.6536902,-2330.66587877,2017-03-13
10677.136983,-63.4732305362,2017-04-24
7450.39668465,-1266.0555962,2017-01-04
15784.8906233,-2612.1722061,2017-08-04
10750.9920469,186.32414955,2017-01-04
13163.3994139,-780.476890008,2017-04-15
11426.7963858,448.747537758,2017-11-03
14675.0531931,345.400158139,2017-04-03
7170.78062847,-240.130620362,2017-04-29
11401.415776,-471.531727928,2017-03-18
9666.70137789,-456.899813122,2017-04-15
12933.4783756,-534.900257618,2017-03-18
7199.4713675,-239.219433153,2017-04-03
7269.15902777,-217.86863964,2017-04-29
12079.4834479,367.383513238,2017-01-04
13513.1476177,-644.705575296,2017-12-04
14231.9419968,1339.36058822,2017-12-04
14638.8255762,1336.97646591,2017-04-20
10936.9485151,-395.919427983,2017-04-20
12381.3186244,-4824.48861595,2017-04-20
13095.5520989,-4007.31670132,2017-07-04
9040.98102786,1064.75590863,2017-04-20
10935.2343203,-258.568011697,2017-04-21
13154.5032645,423.945381963,2017-04-20
11077.0657592,-2290.20213397,2017-04-22
14830.4921599,132.786154296,2017-11-03
7252.15278408,-1286.02391984,2017-01-04
11411.9084985,743.74301068,2017-03-25
15690.0559789,-494.875196303,2017-11-03
10905.996857,-261.198949661,2017-04-15
15645.3107748,-1478.48158399,2017-08-04
11737.6429411,671.941515274,2017-03-18
9609.16552228,-2669.79806052,2017-05-05
6549.15818198,826.482957698,2017-04-27
8107.69274752,-723.108855412,2017-03-17
10720.8882621,-2453.90936477,2017-03-27
13030.7437969,958.998195558,2017-04-05
-3479106.39338,3000800.15951,2017-08-03
12143.0053027,-4221.40543981,2017-04-15
7277.03139813,-1264.66120449,2017-04-15
10897.0950801,-1869.47659616,2017-03-18
7554.06010892,-1093.13171154,2017-04-15
8896.6023494,-7335.94928076,2017-05-05
8847.56159627,-3486.56688486,2017-04-25
8804.70818288,1348.22751982,2017-04-28
7534.67396819,-3228.67009525,2017-04-28
13244.8175311,-812.662064611,2017-11-04
12385.0104254,-397.545134363,2017-04-29
7440.20917575,27.921438911,2017-04-22
9573.38652762,1066.66021794,2017-04-22
11379.5674203,657.765453304,2017-04-29
11058.6312252,-2155.83096239,2017-04-22
12478.4987867,-760.076004673,2017-04-15
12502.9803119,-687.08393672,2017-03-25
17264.7746799,-2853.84220151,2017-04-15
12739.2306899,-719.295364964,2017-04-15
12150.5114196,-1201.18179557,2017-01-04
14142.1769723,-3230.92187534,2017-08-04
12579.9839113,562.10495277,2017-01-04
12975.7622422,414.646362338,2017-04-15
11805.8434797,668.642549796,2017-04-22
13137.2479616,-1774.08355294,2017-03-29
8513.20736656,-3867.03791195,2017-04-26
10700.4322073,-731.424217373,2017-11-04
10539.7332922,-152.637336878,2017-04-18
13015.9122531,-781.45236751,2017-04-15
13226.1461195,-809.79274624,2017-06-05
7465.91708871,242.116463439,2017-04-22
9504.01966645,-7095.52314397,2017-01-04
10467.327735,-5864.47636061,2017-04-15
9667.12059855,-301.966626897,2017-04-15
10538.2837437,-730.096196021,2017-01-04
11249.2062079,-1922.00611569,2017-01-04
13229.432255,852.676335127,2017-04-15
9940.78986897,-1257.0656849,2017-04-22
10158.169212,231.549342893,2017-04-22
8862.30155524,-4399.04686252,2017-04-18
12493.8499841,-3046.06798604,2017-04-18
14175.7102588,-1343.89964534,2017-08-04
17165.5115205,-5070.6414308,2017-04-22
10693.375645,-1571.13395602,2017-04-22
9419.81849033,503.778765897,2017-08-04
9419.998643,544.918424647,2017-08-04
15775.879549,-2596.26943051,2017-08-04
9278.16057536,-486.651092818,2017-06-05
9418.12334933,-502.901489233,2017-06-05
9442.85443463,389.992499771,2017-04-27
13160.1595928,-4160.4984349,2017-04-18
12665.5531877,-4210.08704803,2017-04-29
14688.8440524,134.148797766,2017-04-15
10108.4835474,-3199.32067674,2017-04-29
11411.9411546,-1979.4373876,2017-04-15
8446.82200948,-2981.5493325,2017-04-29
9029.14272473,1046.58518581,2017-04-15
8940.69540157,-918.379541588,2017-04-22
11001.6700312,-491.452158595,2017-04-22
7341.75565504,-1641.26271103,2017-04-22
11560.8749696,-444.289535916,2017-04-22
9287.20602929,-637.393913424,2017-04-22
14528.3979786,-3457.77080361,2017-06-05
10901.2795113,-2407.7214891,2017-04-20
12250.4676077,-2823.8506426,2017-04-27
8462.55860213,-673.064952732,2017-04-26
11556.8354812,-449.813820738,2017-04-21
14811.9903735,-4442.45318238,2017-04-27
14281.4848073,-4604.66473093,2017-04-27
14141.4161025,-1017.06449066,2017-04-25
11699.6943648,-4484.6340789,2017-04-27
11323.9810286,-110.400147066,2017-04-22
11292.8177862,-809.793335425,2017-04-22
8510.90507768,1461.71268664,2017-04-22
9652.17102987,-7151.76199788,2017-04-22
9696.92536053,-928.183749073,2017-04-22
9129.40121708,-2004.97721947,2017-04-22
9715.02512665,-7263.42170773,2017-06-05
9329.71146911,-926.418608373,2017-04-29
6979.37601263,-325.429261274,2017-06-05
-3479106.39338,3000800.15951,2017-04-29
9110.38368553,-1058.69028097,2017-04-29
15488.5288091,-2457.49663718,2017-04-29
7562.97020002,-1098.68162528,2017-06-05
15499.3954236,-2441.1177085,2017-04-29
9931.98566247,-2781.32714447,2017-04-29
14883.0970992,-4555.67883189,2017-06-05
12231.2579182,739.858633042,2017-06-05
10879.8625422,651.231873215,2017-05-05
14802.5257222,-1573.47552058,2017-05-05
12591.1139318,-2964.02033732,2017-05-05
6861.44947127,-3459.37895807,2017-04-27
7373.23735891,-3247.20927783,2017-05-05
10382.2508556,53.1664366924,2017-05-05
10870.3348878,546.455031946,2017-05-05
10632.440692,136.846240008,2017-04-25
10113.8406829,-172.363303696,2017-04-25
4989.56602627,1261.19377324,2017-04-27
10705.1370065,-2729.08784586,2017-06-05
11291.6082047,1060.57024537,2017-06-05
13625.5278173,-1159.48703736,2017-06-05
12702.7872087,165.007628795,2017-06-05
10254.6394713,-3350.81872242,2017-06-05
9007.70493191,-1914.77588492,2017-06-05
8751.73659479,-1929.57847283,2017-06-05
13881.455861,-1486.28903432,2017-06-05
9330.97456874,-2697.2408214,2017-06-05
13370.4453244,375.000239216,2017-06-05
7051.19720826,-1318.7888028,2017-06-05
-3479106.39338,3000800.15951,2017-05-05
15136.6871599,-1690.45316543,2017-06-02
15884.4720533,-2315.52446351,2017-02-23
15871.5261288,-1382.63317344,2017-02-23
14819.3503681,-1346.40419585,2017-01-13
6496.56292706,892.362553296,2017-03-22
11731.1298842,1697.85486003,2017-10-01
-3479106.39338,3000800.15951,2017-02-23
-3479106.39338,3000800.15951,2017-03-05
11339.4226739,-2722.69471884,2017-04-05
13765.7405717,1147.6869287,2017-02-17
13067.3711096,-2030.97812059,2017-04-05
8351.74382125,-6555.28782042,2017-01-30
16733.7868989,-3577.5266658,2017-03-16
10099.4437607,1055.57579095,2017-04-25
10864.7042413,-675.773436168,2017-07-04
13125.9390224,-267.473162606,2017-01-27
10198.5178868,596.472686376,2017-02-23
12277.283678,-3153.54094618,2017-01-27
11466.6985718,-2612.58936368,2017-04-27
16693.4257582,-1817.06799937,2017-02-17
6952.85163193,-2586.98508962,2017-04-26
7322.72697957,-982.901575162,2017-11-01
10847.0332759,-263.061320543,2017-07-04
14682.5797083,-2538.78801952,2017-07-02
11628.3579824,-4580.81230215,2017-04-24
9333.40410396,320.725343999,2017-02-24
13691.1849717,352.269660148,2017-05-05
8721.4444463,-214.649580657,2017-02-24
10226.7705166,-3240.61059937,2017-04-28
8932.51215251,553.670814227,2017-05-05
8821.96719764,-3556.48876672,2017-12-04
17822.8023907,-5346.16405095,2017-08-02
11692.2210816,-4890.44598125,2017-02-03
12739.0694935,-1440.37086425,2017-07-03
11786.0331362,1538.50766779,2017-02-03
9800.91914451,-1179.04627456,2017-06-02
13586.9267608,1264.58916687,2017-04-04
11884.0660837,-1332.14981137,2017-02-03
9695.10619242,-3656.64819383,2017-05-05
8897.82596851,-3513.50291973,2017-04-26
10452.1694762,-2962.65491501,2017-02-14
10520.7832051,-2487.94887151,2017-11-01
8228.52742904,-1218.78913311,2017-02-22
14480.4756494,-4471.35642853,2017-03-20
11271.3995818,-2276.59855809,2017-06-04
11462.4499478,-2268.25179736,2017-01-16
15263.0661377,-1715.56311256,2017-02-03
7248.94142081,-203.443563355,2017-02-23
10582.7216742,-2929.97889617,2017-04-01
13658.9153731,-1110.43415376,2017-03-13
8068.90706666,-3922.98723792,2017-04-01
10215.5077323,654.042413399,2017-03-04
6206.87540524,215.307539594,2017-01-13
12217.6999022,1485.11383814,2017-04-03
13635.8201659,-2061.76700777,2017-03-20
13109.7076033,-1272.65988976,2017-03-15
14707.9219183,155.851662611,2017-01-13
9005.09377404,-3048.54079393,2017-03-01
12326.6272234,-670.827661375,2017-03-17
10971.3019797,-654.62203065,2017-01-16
10726.9455914,-14.0046243249,2017-09-02
8223.28052655,-2022.24240259,2017-04-01
5315.25020767,1228.78369419,2017-09-01
11855.0240575,-1349.0060207,2017-01-14
8425.307284,-1139.35257496,2017-09-01
12132.4400657,-2356.82975111,2017-01-17
13614.6947692,-2397.90234016,2017-05-01
10684.7082547,-554.808194103,2017-01-30
10188.6674943,-166.792629576,2017-03-20
13603.4750028,958.893688701,2017-01-13
9199.82027062,-1041.52299657,2017-07-02
10776.2356623,-3562.03324641,2017-02-23
9629.70346137,982.852745429,2017-04-28
15909.3296567,-4181.78011279,2017-04-28
11147.0019476,-2001.2846687,2017-04-01
10961.5151212,-1748.27650974,2017-04-01
7044.86733109,-2479.96769961,2017-12-03
8858.19086221,-3871.13664595,2017-04-01
14486.3766646,11.8443106365,2017-02-23
7464.06539781,326.430439065,2017-03-01
7160.15731831,742.312718093,2017-03-01
8191.4288113,-2859.38026682,2017-03-01
11645.4393486,686.935774484,2017-03-27
11146.5810263,1630.36291635,2017-09-01
11282.7898578,250.821627617,2017-10-01
9859.96977102,408.809633993,2017-10-01
10909.90324,-2916.72482971,2017-01-27
11084.8780323,-1602.39778201,2017-01-27
10680.8402481,-1708.08487268,2017-01-16
10948.2197383,-2335.18936546,2017-05-01
-3479106.39338,3000800.15951,2017-01-13
9648.12755676,-382.839183111,2017-04-04
16787.5385476,-5291.99555251,2017-01-27
16627.9744883,-5592.83053992,2017-01-13
15501.2395113,-3569.66872914,2017-04-01
13974.8935243,-3310.31791906,2017-02-20
14814.8679851,-3252.81299376,2017-04-01
16149.9633807,-3636.10117113,2017-01-13
15768.0506987,-4068.57335093,2017-04-01
9278.61233214,-1756.16224524,2017-04-28
7053.26335591,-1320.83207442,2017-04-20
6220.34567373,1787.61578955,2017-04-20
10859.5653892,-3536.77033532,2017-01-27
13231.1456277,349.244558778,2017-03-03
15221.1493618,-2117.63780082,2017-03-15
15444.7994831,-2892.43375326,2017-01-27
16080.0696113,-3328.5361451,2017-03-15
13146.5058541,-1405.2460685,2017-03-24
8511.24054577,-6078.94373104,2017-04-01
9622.70325628,-3309.30318924,2017-12-04
12227.2575812,-1950.81922107,2017-05-01
5884.78372175,1185.22197744,2017-01-16
8628.22942963,-4012.13723336,2017-01-27
8815.96415563,-652.865189337,2017-01-30
12112.4122482,-1469.99703001,2017-01-17
16566.2980813,-1687.65702813,2017-01-17
14622.0917423,156.524577919,2017-05-05
15300.0495626,-9.11983345584,2017-03-23
6725.00167826,-459.945598001,2017-01-27
11382.8018817,1537.65786252,2017-02-20
11192.6840821,1343.09126574,2017-04-28
14228.5110107,-3197.79508504,2017-01-27
10673.1111702,-2734.26406486,2017-02-02
7949.67874926,-3201.57960129,2017-05-05
11171.8695306,-2840.6961784,2017-02-02
13634.6921048,950.994805797,2017-02-02
16344.9554168,-2131.6064124,2017-03-05
12780.3539662,-3582.83823117,2017-04-20
10643.4192668,-2636.10303865,2017-04-28
7511.32475979,-1543.85489436,2017-02-22
11533.3099152,-2592.75869346,2017-02-22
14166.0356884,951.657801649,2017-04-25
13048.3988819,525.159348221,2017-03-16
14715.2224097,-2508.56189327,2017-09-02
13398.1816476,1096.74096984,2017-04-20
15455.5270913,938.538967896,2017-12-03
14625.5205177,-78.1144954593,2017-04-05
9599.02878629,678.728793947,2017-12-03
8269.76358816,-218.603955913,2017-03-16
12367.1847177,-1087.47589449,2017-03-20
10616.2273816,90.2319415137,2017-04-24
12068.3846825,-1139.98431,2017-07-04
13081.5773562,18.9309885624,2017-04-19
13239.6420222,963.808420862,2017-04-27
12487.0572242,1268.34818927,2017-03-21
15587.6392541,983.458614745,2017-03-21
11884.9171408,-4509.53717864,2017-07-04
11442.0086682,-4370.73034856,2017-05-05
10295.4084589,-2724.36383857,2017-12-04
6438.88979719,521.817344944,2017-12-04
11430.2446893,-3892.42617938,2017-12-04
10752.6221563,155.707038838,2017-12-04
13757.6613005,-3569.51080081,2017-12-04
16754.0285519,-3297.26012697,2017-12-03
15832.6536902,-2330.66587877,2017-03-13
10677.136983,-63.4732305362,2017-04-24
13513.1476177,-644.705575296,2017-12-04
14231.9419968,1339.36058822,2017-12-04
14638.8255762,1336.97646591,2017-04-20
10936.9485151,-395.919427983,2017-04-20
12381.3186244,-4824.48861595,2017-04-20
13095.5520989,-4007.31670132,2017-07-04
9040.98102786,1064.75590863,2017-04-20
10935.2343203,-258.568011697,2017-04-21
13154.5032645,423.945381963,2017-04-20
9609.16552228,-2669.79806052,2017-05-05
8896.6023494,-7335.94928076,2017-05-05
8847.56159627,-3486.56688486,2017-04-25
8804.70818288,1348.22751982,2017-04-28
7534.67396819,-3228.67009525,2017-04-28
8513.20736656,-3867.03791195,2017-04-26
10700.4322073,-731.424217373,2017-11-04
10539.7332922,-152.637336878,2017-04-18
8862.30155524,-4399.04686252,2017-04-18
13160.1595928,-4160.4984349,2017-04-18
11699.6943648,-4484.6340789,2017-04-27
10879.8625422,651.231873215,2017-05-05
14802.5257222,-1573.47552058,2017-05-05
12591.1139318,-2964.02033732,2017-05-05
7373.23735891,-3247.20927783,2017-05-05
10382.2508556,53.1664366924,2017-05-05
10870.3348878,546.455031946,2017-05-05
15136.6871599,-1690.45316543,2017-06-02
15884.4720533,-2315.52446351,2017-02-23
15871.5261288,-1382.63317344,2017-02-23
14819.3503681,-1346.40419585,2017-01-13
6496.56292706,892.362553296,2017-03-22
11731.1298842,1697.85486003,2017-10-01
-3479106.39338,3000800.15951,2017-02-23
11339.4226739,-2722.69471884,2017-04-05
13765.7405717,1147.6869287,2017-02-17
13067.3711096,-2030.97812059,2017-04-05
