x,y,name
-68791.2184918,38058.6424563,"'Celulosas y Derivados de la Torre, s.l.'"
-68791.2184918,38058.6424563,'J. SOLE ESTRAGUES'
-68791.2184918,38058.6424563,'Furvus'
-68791.2184918,38058.6424563,'MP Mondonico Pijoan'
8304.66158308,-2575.56362808,'Autolica *Josep Irla i Bosch'
7782.26274904,-2905.24801573,'Dragoco S.A.'
11941.3970772,1501.42097668,'Donut Corporation Española S.A.'
9640.8140736,-512.950427102,'Fujifilm España S.A.'
10386.9747914,-562.309311469,'Servei Estació *Aragó'
12466.2895889,-615.404436133,'The Colomer Group - Revlon'
9875.66479914,-412.424128067,'Aribau S.A.'
9876.83927053,1261.61829044,'Vossloh-Schwabe Española S.L.'
9867.78351313,-1488.90239734,'Mattel España'
10295.8483297,-1951.11393438,'Bestfoods España'
10987.0657116,-7.17033244153,'El Corte Inglés'
10114.6852468,-1713.49888533,'DUWARD'
14094.8556497,105.009180417,"'El Corte Inglés, S.A.'"
14234.308036,82.0779354822,'KENWOOD'
7621.94446875,-2057.34160675,'Bach Import S.A.'
7816.40843456,-2267.48557897,'Canon España S.A.'
10526.026181,137.135529542,'El Corte Inglés *Plaça Catalunya'
8740.25925202,-1286.23909819,'Caves Mont Ferrant S.A.'
11709.0328747,-309.491858278,"'I E P, S.Iluminación S.A.'"
8653.98927556,173.492587253,'Pinturas Galatex S.A.'
12048.2255658,1708.17179086,'Lindt & Sprüngli España'
9046.33641609,-1901.97089746,'Solvay Pharma S.A.'
8993.02248036,-1927.99609795,'Roca Sanitario'
-68791.2184918,38058.6424563,'Empresa Hewlett Packard Española'
9350.1474999,-1418.86449899,'Font Vella S.A.'
8028.90129469,-2384.70069058,'Oracle Ibérica *Pedralbes Centre'
7957.45698099,-2412.81659724,'Centre Comercial El Corte Inglés *Avinguda Diagonal'
8940.49154355,-3079.55244279,'Kodak S.A.'
8113.80500323,-2464.87697258,"'Chupa Chups, S.A. *WTC Cornellà'"
8720.3983042,-2402.3470996,'Empresa Basf Española'
-68791.2184918,38058.6424563,'Empresa Black & Decker España'
-68791.2184918,38058.6424563,'Empresa Panasonic España'
10294.3518692,-871.004500086,"'Majorica, S.A.'"
10190.9422517,-211.842165788,'Cerveza San Miguel'
10616.5343782,-138.054221897,'Grup Codorniu'
11902.5608282,-134.233579142,'Novartis Nutrition S.A.'
12449.4341774,-2123.51414793,'Mª Carmen Pardo Agra'
8890.07400868,-309.778658293,'Vorwerk España *Diputació'
8980.55039093,-1112.43257061,'Coordonne *Rossello'
7929.20951699,-2229.84285907,'Compañia Roca Radiadores'
10805.9092317,-1030.67396425,'Gallina Blanca S.A. *Roger Lluria'
12161.4648904,-1798.88881771,'Nutrexpa S.A.'
9533.23590593,-1518.78352707,'Juvé y Camps'
8168.3403261,-837.267738401,'Hipermercat Esclat'
12161.4648904,-1798.88881771,'Nutrexpa'
11642.6546886,-868.122575701,'Myrurgia S.A.'
16815.3207611,-2164.71714575,'Productos Recasens S.A.'
13468.1324861,742.403004043,'Bodegues Joan Blanch S.A.'
6533.12378967,1832.09754127,'Sal Costa SA'
11935.3443238,752.544945976,'Gallina Blanca S.A. *Pujades'
6519.66968697,-245.581536588,'Legrand Española'
14468.8781255,-2232.69214764,'Hipercor *Avinguda Meridiana'
-68791.2184918,38058.6424563,'Empresa Xerox'
10280.4880356,-1379.16765726,'Comercial Gallo S.A.'
10236.0437865,-1420.00458973,'Empresa Wrigley'
11571.0174514,-4953.58761724,'Rasfer International'
12888.5770086,608.602344563,'Metaluxe sa'
10380.8129267,1212.69297084,'Sociedad Anónima Extractos Tánicos'
9476.09835531,-1830.26450423,'Arambel S.a.'
11496.344889,-954.26612184,'3M España S.A.'
-68791.2184918,38058.6424563,'Grupo Cacaolat S.L.'
13538.6533272,-1171.99285872,"'Montana Perucchi, S.A.'"
15824.2072791,-1865.35144994,'Inoxcrom SA'
13628.5251205,579.331652078,'Henkel Ibérica S.A.'
8300.71618764,-769.931054697,'Trades S.A.'
12982.3997002,1252.85373289,'Pedro Masana S.A.'
15393.5878345,-1381.44525063,'Productos Químicos Barcelona S.A.'
9476.09835531,-1830.26450423,'Antonio Puig S.A.'
9633.20577055,-1797.03915994,'Bekaert ibérica S.A.'
10020.9318677,-1659.21957413,'Quimidroga S.A.'
9040.96245237,-1575.60881812,'Vitri Electro Metalúrgica'
7161.59055805,-1676.95862293,'Honeywell SA'
6354.12130623,717.922238348,'Botiga Bauhaus *Passeig Zona Franca'
6492.99604864,469.965991031,'El Tiburón S.A. Condis'
10662.9112377,575.261235045,'Delegació Comercial Caravanas Alemanas'
13619.377312,-2802.69529205,'Francisca Morales Gordillo'
10696.3096369,-838.160278111,"'Técnica y Proyectos, S.A.'"
10103.0123222,-814.024301654,'Editorial Aranzadi'
9846.59766513,-1431.39961796,'Miguel Torres S.A.- Centre Cultural del Vi'
9912.09597232,-1773.58940705,"'GRUPO 80, S.A.'"
9547.04144745,-2450.51320645,'Timberland España SA'
12210.5530108,-1119.17480855,'Salvador Escoda S.A.'
8664.38567127,-2193.9901109,'Unisys España'
10509.1505729,-116.895267821,'Bacardi-Martini España S.A.'
12597.5587144,-1142.04419656,'Antiga Fàbrica Estrella Damm'
7289.33688836,-1488.61479084,'Empresa Konica Minolta'
9476.09835531,-1830.26450423,'Parfums Nina Ricci Espanña S.L.'
8538.08943979,-2113.86094028,'DuPont'
10754.1442415,433.822015884,'Neumáticos Arco Iris S.A.'
9797.06124103,-557.658772755,'Eycam Perrier S.A.'
13974.895725,1106.792839,'PRODUCTOS NATURALES JENNY S.L.'
8538.08943979,-2113.86094028,'Origin Spain s.a.'
10114.6852468,-1713.49888533,'Foot Locker *Balmes'
11129.3910605,-842.300731984,'Groupe Zannier Espanya'
8538.08943979,-2113.86094028,'Internacional Business Machines'
11781.1859182,-1334.78511654,'Pompadour Ibérica S.A.'
